,Activity,Type,Unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e.1,kg CO2e of CO2 per unit.1,kg CO2e of CH4 per unit.1,kg CO2e of N2O per unit.1,kg CO2e.2,kg CO2e of CO2 per unit.2,kg CO2e of CH4 per unit.2,kg CO2e of N2O per unit.2,kg CO2e.3,kg CO2e of CO2 per unit.3,kg CO2e of CH4 per unit.3,kg CO2e of N2O per unit.3,kg CO2e.4,kg CO2e of CO2 per unit.4,kg CO2e of CH4 per unit.4,kg CO2e of N2O per unit.4,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
0,Cars (by market segment),Mini,km,0.10774644888053692,0.10607,4.6368e-06,0.0016718120805369126,0.13029853422818793,0.12962,0.00035840000000000004,0.0003201342281879195,0.13010511946308725,0.12942,0.00034720000000000004,0.00033791946308724835,,,,,0,0,0,0,,,,,,,,,,,,
1,,,miles,0.17341566308724832,0.17071,1.1200000000000001e-05,0.002694463087248322,0.20968697181208054,0.2086,0.0005712000000000001,0.0005157718120805369,0.20938244966442954,0.20828,0.0005600000000000001,0.0005424496644295301,,,,,0,0,0,0,,,,,,,,,,,,
2,,Supermini,km,0.13214644888053692,0.13047,4.6368e-06,0.0016718120805369126,0.14168853422818792,0.14101,0.00035840000000000004,0.0003201342281879195,0.1404870644295302,0.13966,0.00030240000000000003,0.0005246644295302013,0.021630648322147648,0.02149,7.84e-05,6.224832214765101e-05,0,0,0,0,,,,,,,,,,,,
3,,,miles,0.2126756630872483,0.20997,1.1200000000000001e-05,0.002694463087248322,0.22802697181208054,0.22694,0.0005712000000000001,0.0005157718120805369,0.2260963986577181,0.22477,0.00048160000000000005,0.0008447986577181208,0.034812218791946306,0.03458,0.00013440000000000001,9.781879194630873e-05,0,0,0,0,,,,,,,,,,,,
4,,Lower medium,km,0.1434564488805369,0.14178,4.6368e-06,0.0016718120805369126,0.16472853422818792,0.16405,0.00035840000000000004,0.0003201342281879195,0.1552051731543624,0.15403,0.00017920000000000002,0.0009959731543624161,0.05975425234899329,0.05933,0.0002464,0.0001778523489932886,0,0,0,0,,,,,,,,,,,,
5,,,miles,0.23087566308724833,0.22817,1.1200000000000001e-05,0.002694463087248322,0.26509697181208053,0.26401,0.0005712000000000001,0.0005157718120805369,0.24977187114093957,0.24788,0.0002912,0.0016006711409395974,0.09618665637583894,0.09549,0.00040320000000000004,0.00029345637583892616,0,0,0,0,,,,,,,,,,,,
6,,Upper medium,km,0.1604964488805369,0.15882,4.6368e-06,0.0016718120805369126,0.1921085342281879,0.19143,0.00035840000000000004,0.0003201342281879195,0.16793564832214766,0.16647,7.84e-05,0.001387248322147651,0.06310213020134228,0.06264,0.00025760000000000003,0.00020453020134228187,0,0,0,0,,,,,,,,,,,,
7,,,miles,0.2582956630872483,0.25559,1.1200000000000001e-05,0.002694463087248322,0.3091669718120805,0.30808,0.0005712000000000001,0.0005157718120805369,0.2702563543624161,0.26791,0.0001232,0.0022231543624161073,0.10157231946308726,0.10082,0.00041440000000000004,0.00033791946308724835,0,0,0,0,,,,,,,,,,,,
8,,Executive,km,0.1730964488805369,0.17142,4.6368e-06,0.0016718120805369126,0.21231853422818792,0.21164,0.00035840000000000004,0.0003201342281879195,0.182641277852349,0.1812,8.960000000000001e-05,0.0013516778523489934,0.06649650067114093,0.06601,0.0002464,0.0002401006711409396,0,0,0,0,,,,,,,,,,,,
9,,,miles,0.2785856630872483,0.27588,1.1200000000000001e-05,0.002694463087248322,0.3416869718120805,0.3406,0.0005712000000000001,0.0005157718120805369,0.2939342912751678,0.29161,0.0001456,0.0021786912751677852,0.10702558255033558,0.10624,0.00040320000000000004,0.0003823825503355705,0,0,0,0,,,,,,,,,,,,
