,Activity,Type,Unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,kg CO2e.1,kg CO2e of CO2 per unit.1,kg CO2e of CH4 per unit.1,kg CO2e of N2O per unit.1,kg CO2e.2,kg CO2e of CO2 per unit.2,kg CO2e of CH4 per unit.2,kg CO2e of N2O per unit.2,kg CO2e.3,kg CO2e of CO2 per unit.3,kg CO2e of CH4 per unit.3,kg CO2e of N2O per unit.3,kg CO2e.4,kg CO2e of CO2 per unit.4,kg CO2e of CH4 per unit.4,kg CO2e of N2O per unit.4,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
10,,Luxury,km,0.21119644888053693,0.20952,4.6368e-06,0.0016718120805369126,0.31808853422818795,0.31741,0.00035840000000000004,0.0003201342281879195,0.2598695436241611,0.25867,0.000168,0.0010315436241610737,0.0902061932885906,0.08961,0.00034720000000000004,0.00024899328859060403,0,0,0,0,,,,,,,,,,,,
11,,,miles,0.3398956630872483,0.33719,1.1200000000000001e-05,0.002694463087248322,0.5118969718120805,0.51081,0.0005712000000000001,0.0005157718120805369,0.41822291946308726,0.41628,0.00028000000000000003,0.0016629194630872481,0.1451689677852349,0.14422,0.0005488,0.00040016778523489934,0,0,0,0,,,,,,,,,,,,
12,,Sports,km,0.1694364488805369,0.16776,4.6368e-06,0.0016718120805369126,0.23715853422818792,0.23648,0.00035840000000000004,0.0003201342281879195,0.22616595704697987,0.22533,0.00030240000000000003,0.0005335570469798657,0.08171453020134228,0.08123,0.00028000000000000003,0.00020453020134228187,0,0,0,0,,,,,,,,,,,,
13,,,miles,0.2726856630872483,0.26998,1.1200000000000001e-05,0.002694463087248322,0.3816569718120805,0.38057,0.0005712000000000001,0.0005157718120805369,0.3639841838926175,0.36264,0.00048160000000000005,0.0008625838926174497,0.1315070268456376,0.13073,0.00044800000000000005,0.0003290268456375839,0,0,0,0,,,,,,,,,,,,
14,,Dual purpose 4X4,km,0.20194644888053692,0.20027,4.6368e-06,0.0016718120805369126,0.20404853422818792,0.20337,0.00035840000000000004,0.0003201342281879195,0.20270690738255034,0.20129,0.00010080000000000001,0.0013161073825503355,0.07096342281879195,0.07047,0.00028000000000000003,0.0002134228187919463,0,0,0,0,,,,,,,,,,,,
15,,,miles,0.32500566308724826,0.3223,1.1200000000000001e-05,0.002694463087248322,0.3283869718120805,0.3273,0.0005712000000000001,0.0005157718120805369,0.3262132429530202,0.32394,0.0001568,0.0021164429530201342,0.11420591946308727,0.11342,0.00044800000000000005,0.00033791946308724835,0,0,0,0,,,,,,,,,,,,
16,,MPV,km,0.1765964488805369,0.17492,4.6368e-06,0.0016718120805369126,0.18425853422818791,0.18358,0.00035840000000000004,0.0003201342281879195,0.17864690738255035,0.17723,0.00010080000000000001,0.0013161073825503355,0.05658268187919463,0.05625,0.00019040000000000002,0.00014228187919463088,0,0,0,0,,,,,,,,,,,,
17,,,miles,0.28421566308724827,0.28151,1.1200000000000001e-05,0.002694463087248322,0.2965369718120805,0.29545,0.0005712000000000001,0.0005157718120805369,0.28750324295302015,0.28523,0.0001568,0.0021164429530201342,0.09106591543624161,0.09053,0.0003136,0.00022231543624161074,0,0,0,0,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,"An error was identified in converting Unknown and Plug-in Hybrid Electric Vehicle conversion factors to AR5. kg CO2e of CH4 and N2O per unit, and therefore the kg CO2e total, have been updated since version 1.0 of this file",,,,,,,,,,,
20,,,,Diesel,,,,Petrol,,,,Hybrid,,,,CNG,,,,LPG,,,,Unknown,,,,Plug-in Hybrid Electric Vehicle,,,,Battery Electric Vehicle,,,
22,Cars (by size),Small car,km,0.13930644888053692,0.13763,4.6368e-06,0.0016718120805369126,0.14079853422818792,0.14012,0.00035840000000000004,0.0003201342281879195,0.10149885771812081,0.10049,0.00023520000000000002,0.0007736577181208054,,,,,,,,,0.1403688577181208,0.13936,0.00023520000000000002,0.0007736577181208054,0.021630648322147648,0.02149,7.84e-05,6.224832214765101e-05,0,0,0,0
23,,,miles,0.2241956630872483,0.22149,1.1200000000000001e-05,0.002694463087248322,0.22659697181208052,0.22551,0.0005712000000000001,0.0005157718120805369,0.16335576644295302,0.16173,0.00038080000000000004,0.00124496644295302,,,,,,,,,0.22590576644295302,0.22428,0.00038080000000000004,0.00124496644295302,0.034812218791946306,0.03458,0.00013440000000000001,9.781879194630873e-05,0,0,0,0
24,,Medium car,km,0.1671564488805369,0.16548,4.6368e-06,0.0016718120805369126,0.17818853422818792,0.17751,0.00035840000000000004,0.0003201342281879195,0.10903843624161073,0.10783,0.000168,0.0010404362416107382,0.15660419731543626,0.15447,0.0017696000000000003,0.0003645973154362416,0.17607059731543626,0.17565,5.6000000000000006e-05,0.0003645973154362416,0.17245843624161075,0.17125,0.000168,0.0010404362416107382,0.06144203758389262,0.061,0.0002464,0.00019563758389261747,0,0,0,0
25,,,miles,0.2690156630872483,0.26631,1.1200000000000001e-05,0.002694463087248322,0.2867569718120805,0.28567,0.0005712000000000001,0.0005157718120805369,0.1754895046979866,0.17354,0.00026880000000000003,0.001680704697986577,0.2520340201342282,0.2486,0.0028560000000000005,0.0005780201342281879,0.2833576201342282,0.28269,8.960000000000001e-05,0.0005780201342281879,0.2775395046979866,0.27559,0.00026880000000000003,0.001680704697986577,0.09887444161073826,0.09816,0.00040320000000000004,0.000311241610738255,0,0,0,0
26,,Large car,km,0.20858644888053693,0.20691,4.6368e-06,0.0016718120805369126,0.27223853422818795,0.27156,0.00035840000000000004,0.0003201342281879195,0.1524358,0.15101,0.00010080000000000001,0.001325,0.23845419731543627,0.23632,0.0017696000000000003,0.0003645973154362416,0.26914059731543627,0.26872,5.6000000000000006e-05,0.0003645973154362416,0.2261158,0.22469,0.00010080000000000001,0.001325,0.07082231543624161,0.07032,0.00028000000000000003,0.00022231543624161074,0,0,0,0
27,,,miles,0.3356956630872483,0.33299,1.1200000000000001e-05,0.002694463087248322,0.4381169718120805,0.43703,0.0005712000000000001,0.0005157718120805369,0.24530213557046981,0.24302,0.0001568,0.002125335570469799,0.3837540201342282,0.38032,0.0028560000000000005,0.0005780201342281879,0.43313762013422824,0.43247,8.960000000000001e-05,0.0005780201342281879,0.3638921355704698,0.36161,0.0001568,0.002125335570469799,0.1139737046979866,0.11317,0.00044800000000000005,0.0003557046979865772,0,0,0,0
28,,Average car,km,0.1698264488805369,0.16815,4.6368e-06,0.0016718120805369126,0.1639085342281879,0.16323,0.00035840000000000004,0.0003201342281879195,0.11897858791946307,0.11781,0.00019040000000000002,0.0009781879194630872,0.17504419731543627,0.17291,0.0017696000000000003,0.0003645973154362416,0.19704059731543624,0.19662,5.6000000000000006e-05,0.0003645973154362416,0.1666385879194631,0.16547,0.00019040000000000002,0.0009781879194630872,0.06588213020134229,0.06542,0.00025760000000000003,0.00020453020134228187,0,0,0,0
29,,,miles,0.2733156630872483,0.27061,1.1200000000000001e-05,0.002694463087248322,0.2637869718120805,0.2627,0.0005712000000000001,0.0005157718120805369,0.19146750067114093,0.1896,0.00030240000000000003,0.0015651006711409397,0.28170402013422824,0.27827,0.0028560000000000005,0.0005780201342281879,0.3170976201342282,0.31643,8.960000000000001e-05,0.0005780201342281879,0.2681675006711409,0.2663,0.00030240000000000003,0.0015651006711409397,0.1060145342281879,0.10528,0.00041440000000000004,0.0003201342281879195,0,0,0,0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Motorbike,Small,km,0.08318518657718121,0.08094,0.0017472000000000002,0.0004979865771812081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,miles,0.1338927355704698,0.13027,0.0028224000000000005,0.0008003355704697987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Medium,km,0.10107835704697987,0.09826,0.0022848000000000005,0.0005335570469798657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,miles,0.1626572912751678,0.15813,0.0036736000000000004,0.0008536912751677852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Large,km,0.13251915704697986,0.13072,0.0012656,0.0005335570469798657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,miles,0.2132620912751678,0.21037,0.0020384,0.0008536912751677852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Average,km,0.1136742644295302,0.11138,0.0017696000000000003,0.0005246644295302013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,miles,0.1829395986577181,0.17925,0.0028448000000000006,0.0008447986577181208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
