,Scope,activity,type,fuel_type,flight_class,return_flight,ghg_unit,distance_unit,variable_name,value
1285,Scope 1,Cars (by market segment),Sports,Petrol,,,,miles,GHG Conversion Factor 2023,0.3816569718120805
1289,Scope 1,Cars (by market segment),Sports,Unknown,,,,miles,GHG Conversion Factor 2023,0.3639841838926175
1293,Scope 1,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.1315070268456376
1297,Scope 1,Cars (by market segment),Sports,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1301,Scope 1,Cars (by market segment),Dual purpose 4X4,Diesel,,,,km,GHG Conversion Factor 2023,0.20194644888053692
1305,Scope 1,Cars (by market segment),Dual purpose 4X4,Petrol,,,,km,GHG Conversion Factor 2023,0.20404853422818792
1309,Scope 1,Cars (by market segment),Dual purpose 4X4,Unknown,,,,km,GHG Conversion Factor 2023,0.20270690738255034
1313,Scope 1,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.07096342281879195
1317,Scope 1,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1321,Scope 1,Cars (by market segment),Dual purpose 4X4,Diesel,,,,miles,GHG Conversion Factor 2023,0.32500566308724826
1325,Scope 1,Cars (by market segment),Dual purpose 4X4,Petrol,,,,miles,GHG Conversion Factor 2023,0.3283869718120805
1329,Scope 1,Cars (by market segment),Dual purpose 4X4,Unknown,,,,miles,GHG Conversion Factor 2023,0.3262132429530202
1333,Scope 1,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.11420591946308727
1337,Scope 1,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1341,Scope 1,Cars (by market segment),MPV,Diesel,,,,km,GHG Conversion Factor 2023,0.1765964488805369
1345,Scope 1,Cars (by market segment),MPV,Petrol,,,,km,GHG Conversion Factor 2023,0.18425853422818791
1349,Scope 1,Cars (by market segment),MPV,Unknown,,,,km,GHG Conversion Factor 2023,0.17864690738255035
1353,Scope 1,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.05658268187919463
1357,Scope 1,Cars (by market segment),MPV,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1361,Scope 1,Cars (by market segment),MPV,Diesel,,,,miles,GHG Conversion Factor 2023,0.28421566308724827
1365,Scope 1,Cars (by market segment),MPV,Petrol,,,,miles,GHG Conversion Factor 2023,0.2965369718120805
1369,Scope 1,Cars (by market segment),MPV,Unknown,,,,miles,GHG Conversion Factor 2023,0.28750324295302015
1373,Scope 1,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.09106591543624161
1377,Scope 1,Cars (by market segment),MPV,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1381,Scope 1,Cars (by size),Small car,Diesel,,,,km,GHG Conversion Factor 2023,0.13930644888053692
1385,Scope 1,Cars (by size),Small car,Petrol,,,,km,GHG Conversion Factor 2023,0.14079853422818792
1389,Scope 1,Cars (by size),Small car,Hybrid,,,,km,GHG Conversion Factor 2023,0.10149885771812081
1393,Scope 1,Cars (by size),Small car,CNG,,,,km,GHG Conversion Factor 2023,
1397,Scope 1,Cars (by size),Small car,LPG,,,,km,GHG Conversion Factor 2023,
1401,Scope 1,Cars (by size),Small car,Unknown,,,,km,GHG Conversion Factor 2023,0.1403688577181208
1405,Scope 1,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.021630648322147648
1409,Scope 1,Cars (by size),Small car,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1413,Scope 1,Cars (by size),Small car,Diesel,,,,miles,GHG Conversion Factor 2023,0.2241956630872483
1417,Scope 1,Cars (by size),Small car,Petrol,,,,miles,GHG Conversion Factor 2023,0.22659697181208052
1421,Scope 1,Cars (by size),Small car,Hybrid,,,,miles,GHG Conversion Factor 2023,0.16335576644295302
1425,Scope 1,Cars (by size),Small car,CNG,,,,miles,GHG Conversion Factor 2023,
1429,Scope 1,Cars (by size),Small car,LPG,,,,miles,GHG Conversion Factor 2023,
1433,Scope 1,Cars (by size),Small car,Unknown,,,,miles,GHG Conversion Factor 2023,0.22590576644295302
1437,Scope 1,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.034812218791946306
1441,Scope 1,Cars (by size),Small car,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1445,Scope 1,Cars (by size),Medium car,Diesel,,,,km,GHG Conversion Factor 2023,0.1671564488805369
1449,Scope 1,Cars (by size),Medium car,Petrol,,,,km,GHG Conversion Factor 2023,0.17818853422818792
1453,Scope 1,Cars (by size),Medium car,Hybrid,,,,km,GHG Conversion Factor 2023,0.10903843624161073
1457,Scope 1,Cars (by size),Medium car,CNG,,,,km,GHG Conversion Factor 2023,0.15660419731543626
1461,Scope 1,Cars (by size),Medium car,LPG,,,,km,GHG Conversion Factor 2023,0.17607059731543626
1465,Scope 1,Cars (by size),Medium car,Unknown,,,,km,GHG Conversion Factor 2023,0.17245843624161075
1469,Scope 1,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.06144203758389262
1473,Scope 1,Cars (by size),Medium car,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1477,Scope 1,Cars (by size),Medium car,Diesel,,,,miles,GHG Conversion Factor 2023,0.2690156630872483
1481,Scope 1,Cars (by size),Medium car,Petrol,,,,miles,GHG Conversion Factor 2023,0.2867569718120805
1485,Scope 1,Cars (by size),Medium car,Hybrid,,,,miles,GHG Conversion Factor 2023,0.1754895046979866
1489,Scope 1,Cars (by size),Medium car,CNG,,,,miles,GHG Conversion Factor 2023,0.2520340201342282
1493,Scope 1,Cars (by size),Medium car,LPG,,,,miles,GHG Conversion Factor 2023,0.2833576201342282
1497,Scope 1,Cars (by size),Medium car,Unknown,,,,miles,GHG Conversion Factor 2023,0.2775395046979866
1501,Scope 1,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.09887444161073826
1505,Scope 1,Cars (by size),Medium car,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1509,Scope 1,Cars (by size),Large car,Diesel,,,,km,GHG Conversion Factor 2023,0.20858644888053693
1513,Scope 1,Cars (by size),Large car,Petrol,,,,km,GHG Conversion Factor 2023,0.27223853422818795
1517,Scope 1,Cars (by size),Large car,Hybrid,,,,km,GHG Conversion Factor 2023,0.1524358
1521,Scope 1,Cars (by size),Large car,CNG,,,,km,GHG Conversion Factor 2023,0.23845419731543627
1525,Scope 1,Cars (by size),Large car,LPG,,,,km,GHG Conversion Factor 2023,0.26914059731543627
1529,Scope 1,Cars (by size),Large car,Unknown,,,,km,GHG Conversion Factor 2023,0.2261158
1533,Scope 1,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.07082231543624161
1537,Scope 1,Cars (by size),Large car,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1541,Scope 1,Cars (by size),Large car,Diesel,,,,miles,GHG Conversion Factor 2023,0.3356956630872483
1545,Scope 1,Cars (by size),Large car,Petrol,,,,miles,GHG Conversion Factor 2023,0.4381169718120805
1549,Scope 1,Cars (by size),Large car,Hybrid,,,,miles,GHG Conversion Factor 2023,0.24530213557046981
1553,Scope 1,Cars (by size),Large car,CNG,,,,miles,GHG Conversion Factor 2023,0.3837540201342282
1557,Scope 1,Cars (by size),Large car,LPG,,,,miles,GHG Conversion Factor 2023,0.43313762013422824
1561,Scope 1,Cars (by size),Large car,Unknown,,,,miles,GHG Conversion Factor 2023,0.3638921355704698
1565,Scope 1,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.1139737046979866
1569,Scope 1,Cars (by size),Large car,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1573,Scope 1,Cars (by size),Average car,Diesel,,,,km,GHG Conversion Factor 2023,0.1698264488805369
1577,Scope 1,Cars (by size),Average car,Petrol,,,,km,GHG Conversion Factor 2023,0.1639085342281879
1581,Scope 1,Cars (by size),Average car,Hybrid,,,,km,GHG Conversion Factor 2023,0.11897858791946307
1585,Scope 1,Cars (by size),Average car,CNG,,,,km,GHG Conversion Factor 2023,0.17504419731543627
1589,Scope 1,Cars (by size),Average car,LPG,,,,km,GHG Conversion Factor 2023,0.19704059731543624
1593,Scope 1,Cars (by size),Average car,Unknown,,,,km,GHG Conversion Factor 2023,0.1666385879194631
1597,Scope 1,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.06588213020134229
1601,Scope 1,Cars (by size),Average car,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1605,Scope 1,Cars (by size),Average car,Diesel,,,,miles,GHG Conversion Factor 2023,0.2733156630872483
1609,Scope 1,Cars (by size),Average car,Petrol,,,,miles,GHG Conversion Factor 2023,0.2637869718120805
1613,Scope 1,Cars (by size),Average car,Hybrid,,,,miles,GHG Conversion Factor 2023,0.19146750067114093
1617,Scope 1,Cars (by size),Average car,CNG,,,,miles,GHG Conversion Factor 2023,0.28170402013422824
1621,Scope 1,Cars (by size),Average car,LPG,,,,miles,GHG Conversion Factor 2023,0.3170976201342282
1625,Scope 1,Cars (by size),Average car,Unknown,,,,miles,GHG Conversion Factor 2023,0.2681675006711409
1629,Scope 1,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.1060145342281879
1633,Scope 1,Cars (by size),Average car,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1637,Scope 1,Motorbike,Small,,,,,km,GHG Conversion Factor 2023,0.08318518657718121
1641,Scope 1,Motorbike,Small,,,,,miles,GHG Conversion Factor 2023,0.1338927355704698
1645,Scope 1,Motorbike,Medium,,,,,km,GHG Conversion Factor 2023,0.10107835704697987
1649,Scope 1,Motorbike,Medium,,,,,miles,GHG Conversion Factor 2023,0.1626572912751678
1653,Scope 1,Motorbike,Large,,,,,km,GHG Conversion Factor 2023,0.13251915704697986
1657,Scope 1,Motorbike,Large,,,,,miles,GHG Conversion Factor 2023,0.2132620912751678
1661,Scope 1,Motorbike,Average,,,,,km,GHG Conversion Factor 2023,0.1136742644295302
1665,Scope 1,Motorbike,Average,,,,,miles,GHG Conversion Factor 2023,0.1829395986577181
4187,Scope 3,Flights,"Domestic, to/from UK",,Average passenger,With RF,,passenger.km,GHG Conversion Factor 2023,0.2725767852348993
4191,Scope 3,Flights,"Domestic, to/from UK",,Average passenger,Without RF,,passenger.km,GHG Conversion Factor 2023,0.16098678523489934
4195,Scope 3,Flights,"Short-haul, to/from UK",,Average passenger,With RF,,passenger.km,GHG Conversion Factor 2023,0.1859171395973154
4199,Scope 3,Flights,"Short-haul, to/from UK",,Average passenger,Without RF,,passenger.km,GHG Conversion Factor 2023,0.10973713959731544
4203,Scope 3,Flights,"Short-haul, to/from UK",,Economy class,With RF,,passenger.km,GHG Conversion Factor 2023,0.1828693543624161
4207,Scope 3,Flights,"Short-haul, to/from UK",,Economy class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.10793935436241611
4211,Scope 3,Flights,"Short-haul, to/from UK",,Business class,With RF,,passenger.km,GHG Conversion Factor 2023,0.274302877852349
4215,Scope 3,Flights,"Short-haul, to/from UK",,Business class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.16191287785234898
4219,Scope 3,Flights,"Long-haul, to/from UK",,Average passenger,With RF,,passenger.km,GHG Conversion Factor 2023,0.2612806295302013
4223,Scope 3,Flights,"Long-haul, to/from UK",,Average passenger,Without RF,,passenger.km,GHG Conversion Factor 2023,0.15423062953020134
4227,Scope 3,Flights,"Long-haul, to/from UK",,Economy class,With RF,,passenger.km,GHG Conversion Factor 2023,0.20010828053691276
4231,Scope 3,Flights,"Long-haul, to/from UK",,Economy class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.11811828053691276
4235,Scope 3,Flights,"Long-haul, to/from UK",,Premium economy class,With RF,,passenger.km,GHG Conversion Factor 2023,0.3201551932885906
4239,Scope 3,Flights,"Long-haul, to/from UK",,Premium economy class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.18897519328859058
4243,Scope 3,Flights,"Long-haul, to/from UK",,Business class,With RF,,passenger.km,GHG Conversion Factor 2023,0.5802869302013423
4247,Scope 3,Flights,"Long-haul, to/from UK",,Business class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.3425269302013423
4251,Scope 3,Flights,"Long-haul, to/from UK",,First class,With RF,,passenger.km,GHG Conversion Factor 2023,0.8004030295302013
4255,Scope 3,Flights,"Long-haul, to/from UK",,First class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.47246302953020136
4259,Scope 3,Flights,"International, to/from non-UK",,Average passenger,With RF,,passenger.km,GHG Conversion Factor 2023,0.17580378389261744
4263,Scope 3,Flights,"International, to/from non-UK",,Average passenger,Without RF,,passenger.km,GHG Conversion Factor 2023,0.10377378389261746
4267,Scope 3,Flights,"International, to/from non-UK",,Economy class,With RF,,passenger.km,GHG Conversion Factor 2023,0.13464333030872483
4271,Scope 3,Flights,"International, to/from non-UK",,Economy class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.07947333030872483
4275,Scope 3,Flights,"International, to/from non-UK",,Premium economy class,With RF,,passenger.km,GHG Conversion Factor 2023,0.21541942147651008
4279,Scope 3,Flights,"International, to/from non-UK",,Premium economy class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.12715942147651008
4283,Scope 3,Flights,"International, to/from non-UK",,Business class,With RF,,passenger.km,GHG Conversion Factor 2023,0.3904432053691275
4287,Scope 3,Flights,"International, to/from non-UK",,Business class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.23047320536912752
4291,Scope 3,Flights,"International, to/from non-UK",,First class,With RF,,passenger.km,GHG Conversion Factor 2023,0.5385424
4295,Scope 3,Flights,"International, to/from non-UK",,First class,Without RF,,passenger.km,GHG Conversion Factor 2023,0.31789239999999996
4327,Scope 3,Ferry,Foot passenger,,,,,passenger.km,GHG Conversion Factor 2023,0.018710813959731544
4331,Scope 3,Ferry,Car passenger,,,,,passenger.km,GHG Conversion Factor 2023,0.1293288754362416
4335,Scope 3,Ferry,Average (all passenger),,,,,passenger.km,GHG Conversion Factor 2023,0.11269808080536912
4958,Scope 3,Motorbike,Small,,,,,km,GHG Conversion Factor 2023,0.08318518657718121
4962,Scope 3,Motorbike,Small,,,,,miles,GHG Conversion Factor 2023,0.1338927355704698
4966,Scope 3,Motorbike,Medium,,,,,km,GHG Conversion Factor 2023,0.10107835704697987
4970,Scope 3,Motorbike,Medium,,,,,miles,GHG Conversion Factor 2023,0.1626572912751678
4974,Scope 3,Motorbike,Large,,,,,km,GHG Conversion Factor 2023,0.13251915704697986
4978,Scope 3,Motorbike,Large,,,,,miles,GHG Conversion Factor 2023,0.2132620912751678
4982,Scope 3,Motorbike,Average,,,,,km,GHG Conversion Factor 2023,0.1136742644295302
4986,Scope 3,Motorbike,Average,,,,,miles,GHG Conversion Factor 2023,0.1829395986577181
4990,Scope 3,Taxis,Regular taxi,,,,,passenger.km,GHG Conversion Factor 2023,0.148614925938255
4994,Scope 3,Taxis,Regular taxi,,,,,km,GHG Conversion Factor 2023,0.20805644888053693
4998,Scope 3,Taxis,Black cab,,,,,passenger.km,GHG Conversion Factor 2023,0.20402466838120806
5002,Scope 3,Taxis,Black cab,,,,,km,GHG Conversion Factor 2023,0.30603644888053694
5006,Scope 3,Bus,Local bus (not London),,,,,passenger.km,GHG Conversion Factor 2023,0.11836276912751678
5010,Scope 3,Bus,Local London bus,,,,,passenger.km,GHG Conversion Factor 2023,0.07832250872483222
5014,Scope 3,Bus,Average local bus,,,,,passenger.km,GHG Conversion Factor 2023,0.10215039463087248
5018,Scope 3,Bus,Coach,,,,,passenger.km,GHG Conversion Factor 2023,0.027181401342281877
5022,Scope 3,Rail,National rail,,,,,passenger.km,GHG Conversion Factor 2023,0.03546296375838926
5026,Scope 3,Rail,International rail,,,,,passenger.km,GHG Conversion Factor 2023,0.004459077852348993
5030,Scope 3,Rail,Light rail and tram,,,,,passenger.km,GHG Conversion Factor 2023,0.02860326711409396
5034,Scope 3,Rail,London Underground,,,,,passenger.km,GHG Conversion Factor 2023,0.02780206711409396
