,Scope,activity,type,fuel_type,flight_class,return_flight,ghg_unit,distance_unit,variable_name,value
1021,Scope 1,Cars (by market segment),Mini,Diesel,,,,km,GHG Conversion Factor 2023,0.10774644888053692
1025,Scope 1,Cars (by market segment),Mini,Petrol,,,,km,GHG Conversion Factor 2023,0.13029853422818793
1029,Scope 1,Cars (by market segment),Mini,Unknown,,,,km,GHG Conversion Factor 2023,0.13010511946308725
1033,Scope 1,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,
1037,Scope 1,Cars (by market segment),Mini,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1041,Scope 1,Cars (by market segment),Mini,Diesel,,,,miles,GHG Conversion Factor 2023,0.17341566308724832
1045,Scope 1,Cars (by market segment),Mini,Petrol,,,,miles,GHG Conversion Factor 2023,0.20968697181208054
1049,Scope 1,Cars (by market segment),Mini,Unknown,,,,miles,GHG Conversion Factor 2023,0.20938244966442954
1053,Scope 1,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,
1057,Scope 1,Cars (by market segment),Mini,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1061,Scope 1,Cars (by market segment),Supermini,Diesel,,,,km,GHG Conversion Factor 2023,0.13214644888053692
1065,Scope 1,Cars (by market segment),Supermini,Petrol,,,,km,GHG Conversion Factor 2023,0.14168853422818792
1069,Scope 1,Cars (by market segment),Supermini,Unknown,,,,km,GHG Conversion Factor 2023,0.1404870644295302
1073,Scope 1,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.021630648322147648
1077,Scope 1,Cars (by market segment),Supermini,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1081,Scope 1,Cars (by market segment),Supermini,Diesel,,,,miles,GHG Conversion Factor 2023,0.2126756630872483
1085,Scope 1,Cars (by market segment),Supermini,Petrol,,,,miles,GHG Conversion Factor 2023,0.22802697181208054
1089,Scope 1,Cars (by market segment),Supermini,Unknown,,,,miles,GHG Conversion Factor 2023,0.2260963986577181
1093,Scope 1,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.034812218791946306
1097,Scope 1,Cars (by market segment),Supermini,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1101,Scope 1,Cars (by market segment),Lower medium,Diesel,,,,km,GHG Conversion Factor 2023,0.1434564488805369
1105,Scope 1,Cars (by market segment),Lower medium,Petrol,,,,km,GHG Conversion Factor 2023,0.16472853422818792
1109,Scope 1,Cars (by market segment),Lower medium,Unknown,,,,km,GHG Conversion Factor 2023,0.1552051731543624
1113,Scope 1,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.05975425234899329
1117,Scope 1,Cars (by market segment),Lower medium,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1121,Scope 1,Cars (by market segment),Lower medium,Diesel,,,,miles,GHG Conversion Factor 2023,0.23087566308724833
1125,Scope 1,Cars (by market segment),Lower medium,Petrol,,,,miles,GHG Conversion Factor 2023,0.26509697181208053
1129,Scope 1,Cars (by market segment),Lower medium,Unknown,,,,miles,GHG Conversion Factor 2023,0.24977187114093957
1133,Scope 1,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.09618665637583894
1137,Scope 1,Cars (by market segment),Lower medium,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1141,Scope 1,Cars (by market segment),Upper medium,Diesel,,,,km,GHG Conversion Factor 2023,0.1604964488805369
1145,Scope 1,Cars (by market segment),Upper medium,Petrol,,,,km,GHG Conversion Factor 2023,0.1921085342281879
1149,Scope 1,Cars (by market segment),Upper medium,Unknown,,,,km,GHG Conversion Factor 2023,0.16793564832214766
1153,Scope 1,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.06310213020134228
1157,Scope 1,Cars (by market segment),Upper medium,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1161,Scope 1,Cars (by market segment),Upper medium,Diesel,,,,miles,GHG Conversion Factor 2023,0.2582956630872483
1165,Scope 1,Cars (by market segment),Upper medium,Petrol,,,,miles,GHG Conversion Factor 2023,0.3091669718120805
1169,Scope 1,Cars (by market segment),Upper medium,Unknown,,,,miles,GHG Conversion Factor 2023,0.2702563543624161
1173,Scope 1,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.10157231946308726
1177,Scope 1,Cars (by market segment),Upper medium,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1181,Scope 1,Cars (by market segment),Executive,Diesel,,,,km,GHG Conversion Factor 2023,0.1730964488805369
1185,Scope 1,Cars (by market segment),Executive,Petrol,,,,km,GHG Conversion Factor 2023,0.21231853422818792
1189,Scope 1,Cars (by market segment),Executive,Unknown,,,,km,GHG Conversion Factor 2023,0.182641277852349
1193,Scope 1,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.06649650067114093
1197,Scope 1,Cars (by market segment),Executive,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1201,Scope 1,Cars (by market segment),Executive,Diesel,,,,miles,GHG Conversion Factor 2023,0.2785856630872483
1205,Scope 1,Cars (by market segment),Executive,Petrol,,,,miles,GHG Conversion Factor 2023,0.3416869718120805
1209,Scope 1,Cars (by market segment),Executive,Unknown,,,,miles,GHG Conversion Factor 2023,0.2939342912751678
1213,Scope 1,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.10702558255033558
1217,Scope 1,Cars (by market segment),Executive,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1221,Scope 1,Cars (by market segment),Luxury,Diesel,,,,km,GHG Conversion Factor 2023,0.21119644888053693
1225,Scope 1,Cars (by market segment),Luxury,Petrol,,,,km,GHG Conversion Factor 2023,0.31808853422818795
1229,Scope 1,Cars (by market segment),Luxury,Unknown,,,,km,GHG Conversion Factor 2023,0.2598695436241611
1233,Scope 1,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0902061932885906
1237,Scope 1,Cars (by market segment),Luxury,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1241,Scope 1,Cars (by market segment),Luxury,Diesel,,,,miles,GHG Conversion Factor 2023,0.3398956630872483
1245,Scope 1,Cars (by market segment),Luxury,Petrol,,,,miles,GHG Conversion Factor 2023,0.5118969718120805
1249,Scope 1,Cars (by market segment),Luxury,Unknown,,,,miles,GHG Conversion Factor 2023,0.41822291946308726
1253,Scope 1,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.1451689677852349
1257,Scope 1,Cars (by market segment),Luxury,Battery Electric Vehicle,,,,miles,GHG Conversion Factor 2023,0.0
1261,Scope 1,Cars (by market segment),Sports,Diesel,,,,km,GHG Conversion Factor 2023,0.1694364488805369
1265,Scope 1,Cars (by market segment),Sports,Petrol,,,,km,GHG Conversion Factor 2023,0.23715853422818792
1269,Scope 1,Cars (by market segment),Sports,Unknown,,,,km,GHG Conversion Factor 2023,0.22616595704697987
1273,Scope 1,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.08171453020134228
1277,Scope 1,Cars (by market segment),Sports,Battery Electric Vehicle,,,,km,GHG Conversion Factor 2023,0.0
1281,Scope 1,Cars (by market segment),Sports,Diesel,,,,miles,GHG Conversion Factor 2023,0.2726856630872483
