,Activity,Type,Unit,kg CO2e,Fuel
2,Motorbike,Medium,km,0.1010783570469798,
3,Motorbike,,miles,0.1626572912751678,
4,Motorbike,Large,km,0.1325191570469798,
5,Motorbike,,miles,0.2132620912751678,
6,Motorbike,Average,km,0.1136742644295302,
7,Motorbike,,miles,0.1829395986577181,
0,Ferry,Foot passenger,passenger.km,0.0187108139597315,
1,Ferry,Car passenger,passenger.km,0.1293288754362416,
2,Ferry,Average (all passenger),passenger.km,0.1126980808053691,
0,Rail,National rail,passenger.km,0.0354629637583892,
1,Rail,International rail,passenger.km,0.0044590778523489,
2,Rail,Light rail and tram,passenger.km,0.0286032671140939,
3,Rail,London Underground,passenger.km,0.0278020671140939,
