,Activity,Type,Unit,kg CO2e,Fuel
0,Flights,"Domestic, to/from UK",passenger.km,0.2725767852348993,
1,Flights,"Short-haul, to/from UK",passenger.km,0.1859171395973154,
2,Flights,"Long-haul, to/from UK",passenger.km,0.2612806295302013,
3,Flights,"International, to/from non-UK",passenger.km,0.1758037838926174,
0,Bus,Local bus (not London),passenger.km,0.1183627691275167,
1,Bus,Local London bus,passenger.km,0.0783225087248322,
2,Bus,Average local bus,passenger.km,0.1021503946308724,
3,Bus,Coach,passenger.km,0.0271814013422818,
0,Cars (by market segment),Mini,km,0.1077464488805369,Diesel
1,Cars (by market segment),,miles,0.1734156630872483,Diesel
2,Cars (by market segment),Supermini,km,0.1321464488805369,Diesel
3,Cars (by market segment),,miles,0.2126756630872483,Diesel
4,Cars (by market segment),Lower medium,km,0.1434564488805369,Diesel
5,Cars (by market segment),,miles,0.2308756630872483,Diesel
6,Cars (by market segment),Upper medium,km,0.1604964488805369,Diesel
7,Cars (by market segment),,miles,0.2582956630872483,Diesel
8,Cars (by market segment),Executive,km,0.1730964488805369,Diesel
9,Cars (by market segment),,miles,0.2785856630872483,Diesel
10,Cars (by market segment),Luxury,km,0.2111964488805369,Diesel
11,Cars (by market segment),,miles,0.3398956630872483,Diesel
12,Cars (by market segment),Sports,km,0.1694364488805369,Diesel
13,Cars (by market segment),,miles,0.2726856630872483,Diesel
14,Cars (by market segment),Dual purpose 4X4,km,0.2019464488805369,Diesel
15,Cars (by market segment),,miles,0.3250056630872482,Diesel
16,Cars (by market segment),MPV,km,0.1765964488805369,Diesel
17,Cars (by market segment),,miles,0.2842156630872482,Diesel
18,Cars (by market segment),Mini,km,0.1302985342281879,Petrol
19,Cars (by market segment),,miles,0.2096869718120805,Petrol
20,Cars (by market segment),Supermini,km,0.1416885342281879,Petrol
21,Cars (by market segment),,miles,0.2280269718120805,Petrol
22,Cars (by market segment),Lower medium,km,0.1647285342281879,Petrol
23,Cars (by market segment),,miles,0.2650969718120805,Petrol
24,Cars (by market segment),Upper medium,km,0.1921085342281879,Petrol
25,Cars (by market segment),,miles,0.3091669718120805,Petrol
26,Cars (by market segment),Executive,km,0.2123185342281879,Petrol
27,Cars (by market segment),,miles,0.3416869718120805,Petrol
28,Cars (by market segment),Luxury,km,0.3180885342281879,Petrol
29,Cars (by market segment),,miles,0.5118969718120805,Petrol
30,Cars (by market segment),Sports,km,0.2371585342281879,Petrol
31,Cars (by market segment),,miles,0.3816569718120805,Petrol
32,Cars (by market segment),Dual purpose 4X4,km,0.2040485342281879,Petrol
33,Cars (by market segment),,miles,0.3283869718120805,Petrol
34,Cars (by market segment),MPV,km,0.1842585342281879,Petrol
35,Cars (by market segment),,miles,0.2965369718120805,Petrol
36,Cars (by market segment),Mini,km,0.1301051194630872,Unknown
37,Cars (by market segment),,miles,0.2093824496644295,Unknown
38,Cars (by market segment),Supermini,km,0.1404870644295302,Unknown
39,Cars (by market segment),,miles,0.2260963986577181,Unknown
40,Cars (by market segment),Lower medium,km,0.1552051731543624,Unknown
41,Cars (by market segment),,miles,0.2497718711409395,Unknown
42,Cars (by market segment),Upper medium,km,0.1679356483221476,Unknown
43,Cars (by market segment),,miles,0.2702563543624161,Unknown
44,Cars (by market segment),Executive,km,0.182641277852349,Unknown
45,Cars (by market segment),,miles,0.2939342912751678,Unknown
46,Cars (by market segment),Luxury,km,0.2598695436241611,Unknown
47,Cars (by market segment),,miles,0.4182229194630872,Unknown
48,Cars (by market segment),Sports,km,0.2261659570469798,Unknown
49,Cars (by market segment),,miles,0.3639841838926175,Unknown
50,Cars (by market segment),Dual purpose 4X4,km,0.2027069073825503,Unknown
51,Cars (by market segment),,miles,0.3262132429530202,Unknown
52,Cars (by market segment),MPV,km,0.1786469073825503,Unknown
53,Cars (by market segment),,miles,0.2875032429530201,Unknown
54,Cars (by market segment),Mini,km,,Plugin hybrid electric vehicle
55,Cars (by market segment),,miles,,Plugin hybrid electric vehicle
56,Cars (by market segment),Supermini,km,0.0216306483221476,Plugin hybrid electric vehicle
57,Cars (by market segment),,miles,0.0348122187919463,Plugin hybrid electric vehicle
58,Cars (by market segment),Lower medium,km,0.0597542523489932,Plugin hybrid electric vehicle
59,Cars (by market segment),,miles,0.0961866563758389,Plugin hybrid electric vehicle
60,Cars (by market segment),Upper medium,km,0.0631021302013422,Plugin hybrid electric vehicle
61,Cars (by market segment),,miles,0.1015723194630872,Plugin hybrid electric vehicle
62,Cars (by market segment),Executive,km,0.0664965006711409,Plugin hybrid electric vehicle
63,Cars (by market segment),,miles,0.1070255825503355,Plugin hybrid electric vehicle
64,Cars (by market segment),Luxury,km,0.0902061932885906,Plugin hybrid electric vehicle
65,Cars (by market segment),,miles,0.1451689677852349,Plugin hybrid electric vehicle
66,Cars (by market segment),Sports,km,0.0817145302013422,Plugin hybrid electric vehicle
67,Cars (by market segment),,miles,0.1315070268456376,Plugin hybrid electric vehicle
68,Cars (by market segment),Dual purpose 4X4,km,0.0709634228187919,Plugin hybrid electric vehicle
69,Cars (by market segment),,miles,0.1142059194630872,Plugin hybrid electric vehicle
70,Cars (by market segment),MPV,km,0.0565826818791946,Plugin hybrid electric vehicle
71,Cars (by market segment),,miles,0.0910659154362416,Plugin hybrid electric vehicle
0,Cars (by size),Small car,km,0.1393064488805369,Diesel
1,Cars (by size),,miles,0.2241956630872483,Diesel
2,Cars (by size),Medium car,km,0.1671564488805369,Diesel
3,Cars (by size),,miles,0.2690156630872483,Diesel
4,Cars (by size),Large car,km,0.2085864488805369,Diesel
5,Cars (by size),,miles,0.3356956630872483,Diesel
6,Cars (by size),Average car,km,0.1698264488805369,Diesel
7,Cars (by size),,miles,0.2733156630872483,Diesel
8,Cars (by size),Small car,km,0.1407985342281879,Petrol
9,Cars (by size),,miles,0.2265969718120805,Petrol
10,Cars (by size),Medium car,km,0.1781885342281879,Petrol
11,Cars (by size),,miles,0.2867569718120805,Petrol
12,Cars (by size),Large car,km,0.2722385342281879,Petrol
13,Cars (by size),,miles,0.4381169718120805,Petrol
14,Cars (by size),Average car,km,0.1639085342281879,Petrol
15,Cars (by size),,miles,0.2637869718120805,Petrol
16,Cars (by size),Small car,km,0.1014988577181208,Hybrid
17,Cars (by size),,miles,0.163355766442953,Hybrid
18,Cars (by size),Medium car,km,0.1090384362416107,Hybrid
19,Cars (by size),,miles,0.1754895046979866,Hybrid
20,Cars (by size),Large car,km,0.1524358,Hybrid
21,Cars (by size),,miles,0.2453021355704698,Hybrid
22,Cars (by size),Average car,km,0.118978587919463,Hybrid
23,Cars (by size),,miles,0.1914675006711409,Hybrid
24,Cars (by size),Small car,km,,CNG
25,Cars (by size),,miles,,CNG
26,Cars (by size),Medium car,km,0.1566041973154362,CNG
27,Cars (by size),,miles,0.2520340201342282,CNG
28,Cars (by size),Large car,km,0.2384541973154362,CNG
29,Cars (by size),,miles,0.3837540201342282,CNG
30,Cars (by size),Average car,km,0.1750441973154362,CNG
31,Cars (by size),,miles,0.2817040201342282,CNG
32,Cars (by size),Small car,km,,LPG
33,Cars (by size),,miles,,LPG
34,Cars (by size),Medium car,km,0.1760705973154362,LPG
35,Cars (by size),,miles,0.2833576201342282,LPG
36,Cars (by size),Large car,km,0.2691405973154362,LPG
37,Cars (by size),,miles,0.4331376201342282,LPG
38,Cars (by size),Average car,km,0.1970405973154362,LPG
39,Cars (by size),,miles,0.3170976201342282,LPG
40,Cars (by size),Small car,km,0.1403688577181208,Unknown
41,Cars (by size),,miles,0.225905766442953,Unknown
42,Cars (by size),Medium car,km,0.1724584362416107,Unknown
43,Cars (by size),,miles,0.2775395046979866,Unknown
44,Cars (by size),Large car,km,0.2261158,Unknown
45,Cars (by size),,miles,0.3638921355704698,Unknown
46,Cars (by size),Average car,km,0.1666385879194631,Unknown
47,Cars (by size),,miles,0.2681675006711409,Unknown
48,Cars (by size),Small car,km,0.0216306483221476,Plugin hybrid electric vehicle
49,Cars (by size),,miles,0.0348122187919463,Plugin hybrid electric vehicle
50,Cars (by size),Medium car,km,0.0614420375838926,Plugin hybrid electric vehicle
51,Cars (by size),,miles,0.0988744416107382,Plugin hybrid electric vehicle
52,Cars (by size),Large car,km,0.0708223154362416,Plugin hybrid electric vehicle
53,Cars (by size),,miles,0.1139737046979866,Plugin hybrid electric vehicle
54,Cars (by size),Average car,km,0.0658821302013422,Plugin hybrid electric vehicle
55,Cars (by size),,miles,0.1060145342281879,Plugin hybrid electric vehicle
0,Motorbike,Small,km,0.0831851865771812,
1,Motorbike,,miles,0.1338927355704698,
