,Activity,Type,Unit,Fuel,kg CO2e
0,Cars (by size),Small car,km,Diesel,0.13930644888053692
1,Cars (by size),,miles,Diesel,0.2241956630872483
2,Cars (by size),Medium car,km,Diesel,0.1671564488805369
3,Cars (by size),,miles,Diesel,0.2690156630872483
4,Cars (by size),Large car,km,Diesel,0.20858644888053693
5,Cars (by size),,miles,Diesel,0.3356956630872483
6,Cars (by size),Average car,km,Diesel,0.1698264488805369
7,Cars (by size),,miles,Diesel,0.2733156630872483
8,Cars (by size),Small car,km,Petrol,0.14079853422818792
9,Cars (by size),,miles,Petrol,0.22659697181208052
10,Cars (by size),Medium car,km,Petrol,0.17818853422818792
11,Cars (by size),,miles,Petrol,0.2867569718120805
12,Cars (by size),Large car,km,Petrol,0.27223853422818795
13,Cars (by size),,miles,Petrol,0.4381169718120805
14,Cars (by size),Average car,km,Petrol,0.1639085342281879
15,Cars (by size),,miles,Petrol,0.2637869718120805
16,Cars (by size),Small car,km,Hybrid,0.10149885771812081
17,Cars (by size),,miles,Hybrid,0.16335576644295302
18,Cars (by size),Medium car,km,Hybrid,0.10903843624161073
19,Cars (by size),,miles,Hybrid,0.1754895046979866
20,Cars (by size),Large car,km,Hybrid,0.1524358
21,Cars (by size),,miles,Hybrid,0.24530213557046981
22,Cars (by size),Average car,km,Hybrid,0.11897858791946307
23,Cars (by size),,miles,Hybrid,0.19146750067114093
24,Cars (by size),Small car,km,CNG,
25,Cars (by size),,miles,CNG,
26,Cars (by size),Medium car,km,CNG,0.15660419731543626
27,Cars (by size),,miles,CNG,0.2520340201342282
28,Cars (by size),Large car,km,CNG,0.23845419731543627
29,Cars (by size),,miles,CNG,0.3837540201342282
30,Cars (by size),Average car,km,CNG,0.17504419731543627
31,Cars (by size),,miles,CNG,0.28170402013422824
32,Cars (by size),Small car,km,LPG,
33,Cars (by size),,miles,LPG,
34,Cars (by size),Medium car,km,LPG,0.17607059731543626
35,Cars (by size),,miles,LPG,0.2833576201342282
36,Cars (by size),Large car,km,LPG,0.26914059731543627
37,Cars (by size),,miles,LPG,0.43313762013422824
38,Cars (by size),Average car,km,LPG,0.19704059731543624
39,Cars (by size),,miles,LPG,0.3170976201342282
40,Cars (by size),Small car,km,Unknown,0.1403688577181208
41,Cars (by size),,miles,Unknown,0.22590576644295302
42,Cars (by size),Medium car,km,Unknown,0.17245843624161075
43,Cars (by size),,miles,Unknown,0.2775395046979866
44,Cars (by size),Large car,km,Unknown,0.2261158
45,Cars (by size),,miles,Unknown,0.3638921355704698
46,Cars (by size),Average car,km,Unknown,0.1666385879194631
47,Cars (by size),,miles,Unknown,0.2681675006711409
48,Cars (by size),Small car,km,Plugin hybrid electric vehicle,0.021630648322147648
49,Cars (by size),,miles,Plugin hybrid electric vehicle,0.034812218791946306
50,Cars (by size),Medium car,km,Plugin hybrid electric vehicle,0.06144203758389262
51,Cars (by size),,miles,Plugin hybrid electric vehicle,0.09887444161073826
52,Cars (by size),Large car,km,Plugin hybrid electric vehicle,0.07082231543624161
53,Cars (by size),,miles,Plugin hybrid electric vehicle,0.1139737046979866
54,Cars (by size),Average car,km,Plugin hybrid electric vehicle,0.06588213020134229
55,Cars (by size),,miles,Plugin hybrid electric vehicle,0.1060145342281879
