,Activity,Type,Unit,Diesel,Petrol,Unknown,Plugin hybrid electric vehicle
0,Cars (by market segment),Mini,km,0.10774644888053692,0.13029853422818793,0.13010511946308725,
1,,,miles,0.17341566308724832,0.20968697181208054,0.20938244966442954,
2,,Supermini,km,0.13214644888053692,0.14168853422818792,0.1404870644295302,0.021630648322147648
3,,,miles,0.2126756630872483,0.22802697181208054,0.2260963986577181,0.034812218791946306
4,,Lower medium,km,0.1434564488805369,0.16472853422818792,0.1552051731543624,0.05975425234899329
5,,,miles,0.23087566308724833,0.26509697181208053,0.24977187114093957,0.09618665637583894
6,,Upper medium,km,0.1604964488805369,0.1921085342281879,0.16793564832214766,0.06310213020134228
7,,,miles,0.2582956630872483,0.3091669718120805,0.2702563543624161,0.10157231946308726
8,,Executive,km,0.1730964488805369,0.21231853422818792,0.182641277852349,0.06649650067114093
9,,,miles,0.2785856630872483,0.3416869718120805,0.2939342912751678,0.10702558255033558
10,,Luxury,km,0.21119644888053693,0.31808853422818795,0.2598695436241611,0.0902061932885906
11,,,miles,0.3398956630872483,0.5118969718120805,0.41822291946308726,0.1451689677852349
12,,Sports,km,0.1694364488805369,0.23715853422818792,0.22616595704697987,0.08171453020134228
13,,,miles,0.2726856630872483,0.3816569718120805,0.3639841838926175,0.1315070268456376
14,,Dual purpose 4X4,km,0.20194644888053692,0.20404853422818792,0.20270690738255034,0.07096342281879195
15,,,miles,0.32500566308724826,0.3283869718120805,0.3262132429530202,0.11420591946308727
16,,MPV,km,0.1765964488805369,0.18425853422818791,0.17864690738255035,0.05658268187919463
17,,,miles,0.28421566308724827,0.2965369718120805,0.28750324295302015,0.09106591543624161
18,,,,,,,
19,,,,,,,
20,,,,Diesel,Petrol,Hybrid,CNG
22,Cars (by size),Small car,km,0.13930644888053692,0.14079853422818792,0.10149885771812081,
23,,,miles,0.2241956630872483,0.22659697181208052,0.16335576644295302,
24,,Medium car,km,0.1671564488805369,0.17818853422818792,0.10903843624161073,0.15660419731543626
25,,,miles,0.2690156630872483,0.2867569718120805,0.1754895046979866,0.2520340201342282
26,,Large car,km,0.20858644888053693,0.27223853422818795,0.1524358,0.23845419731543627
27,,,miles,0.3356956630872483,0.4381169718120805,0.24530213557046981,0.3837540201342282
28,,Average car,km,0.1698264488805369,0.1639085342281879,0.11897858791946307,0.17504419731543627
29,,,miles,0.2733156630872483,0.2637869718120805,0.19146750067114093,0.28170402013422824
30,,,,,,,
31,,,,,,,
32,,,,,,,
34,Motorbike,Small,km,0.08318518657718121,,,
35,,,miles,0.1338927355704698,,,
36,,Medium,km,0.10107835704697987,,,
37,,,miles,0.1626572912751678,,,
38,,Large,km,0.13251915704697986,,,
39,,,miles,0.2132620912751678,,,
40,,Average,km,0.1136742644295302,,,
41,,,miles,0.1829395986577181,,,
