,Description
"Domestic, to/from UK",Domestic flights are those between UK airports.
"Short-haul, to/from UK","International flights to/from the UK, typically to Europe (up to 3700km distance)."
"Long-haul, to/from UK","Long-haul international flights to/from the UK, typically to non-European destinations (over 3700km distance)."
"International, to/from non-UK",International flights to/from non-UK countries.
