,Activity,Type,Unit,kg CO2e
0,Motorbike,Small,km,0.08318518657718121
1,,,miles,0.1338927355704698
2,,Medium,km,0.10107835704697987
3,,,miles,0.1626572912751678
4,,Large,km,0.13251915704697986
5,,,miles,0.2132620912751678
6,,Average,km,0.1136742644295302
7,,,miles,0.1829395986577181
